,SECTION,MONTH,STREET_RATING_AVG,STREETS_CNT,STREETS_ACCEPTABLE_CNT,STREETS_ACCEPTABLE_MILES,STREETS_FILTHY_MILES,STREETS_FILTHY_CNT,SIDEWALK_RATING_AVG,SIDEWALKS_CNT,SIDEWALKS_ACCEPTABLE_CNT,SIDEWALKS_ACCEPTABLE_MILES,SIDEWALKS_FILTHY_CNT,SIDEWALKS_FILTHY_MILES,LINEAR_MILES
54,BKS122,,,,,,,,,,,,,,12.0
55,BKS123,,,,,,,,,,,,,,15.0
56,BKS124,,,,,,,,,,,,,,19.0
57,BKS125,,,,,,,,,,,,,,19.0
58,BKS126,,,,,,,,,,,,,,23.0
59,BKS131,,,,,,,,,,,,,,31.0
60,BKS132,,,,,,,,,,,,,,63.0
61,BKS141,,,,,,,,,,,,,,17.0
62,BKS142,,,,,,,,,,,,,,23.0
63,BKS143,,,,,,,,,,,,,,26.0
64,BKS144,,,,,,,,,,,,,,25.0
65,BKS151,,,,,,,,,,,,,,27.0
66,BKS152,,,,,,,,,,,,,,32.0
67,BKS153,,,,,,,,,,,,,,47.0
68,BKS154,,,,,,,,,,,,,,50.0
69,BKS155,,,,,,,,,,,,,,24.0
70,BKS181,,,,,,,,,,,,,,36.0
71,BKS182,,,,,,,,,,,,,,31.0
72,BKS183,,,,,,,,,,,,,,25.0
73,BKS184,,,,,,,,,,,,,,44.0
74,BKS185,,,,,,,,,,,,,,27.0
75,BKS186,,,,,,,,,,,,,,29.0
76,BKS187,,,,,,,,,,,,,,47.0
77,BX011,,,,,,,,,,,,,,42.0
78,BX012,,,,,,,,,,,,,,49.0
79,BX021,,,,,,,,,,,,,,77.0
80,BX031,,,,,,,,,,,,,,55.0
81,BX041,,,,,,,,,,,,,,31.0
82,BX042,,,,,,,,,,,,,,23.0
83,BX043,,,,,,,,,,,,,,31.0
84,BX051,,,,,,,,,,,,,,31.0
85,BX052,,,,,,,,,,,,,,16.0
86,BX053,,,,,,,,,,,,,,13.0
87,BX061,,,,,,,,,,,,,,28.0
88,BX062,,,,,,,,,,,,,,38.0
89,BX071,,,,,,,,,,,,,,21.0
90,BX072,,,,,,,,,,,,,,31.0
91,BX073,,,,,,,,,,,,,,18.0
92,BX081,,,,,,,,,,,,,,17.0
93,BX082,,,,,,,,,,,,,,23.0
94,BX083,,,,,,,,,,,,,,62.0
95,BX091,,,,,,,,,,,,,,53.0
96,BX092,,,,,,,,,,,,,,26.0
97,BX093,,,,,,,,,,,,,,25.0
98,BX094,,,,,,,,,,,,,,52.0
99,BX101,,,,,,,,,,,,,,50.0
100,BX102,,,,,,,,,,,,,,77.0
101,BX103,,,,,,,,,,,,,,65.0
102,BX111,,,,,,,,,,,,,,34.0
103,BX112,,,,,,,,,,,,,,47.0
